decimalLongitude	decimalLatitude	year	species	pa
-63.8894	11.157312	1	sp1	1
-9.203787	51.477626	1	sp1	1
-9.224278	51.424053	1	sp1	1
-98.5	-0.5	1	sp1	1
156.5	9.5	1	sp1	1
21.281	-39.757	1	sp1	1
-164.5	11.5	1	sp1	1
-76.75	-12.4611	1	sp1	1
34.065	-32.1105	1	sp1	1
2.512233	6.361099	1	sp1	1
-5.76667	50.0667	1	sp1	1
-1.61994	46.36144	1	sp1	1
22.016	-38.552	1	sp1	1
-93.5	-17.5	1	sp1	1
116.5	11.5	1	sp1	1
35.4831	-21.295	1	sp1	1
31.122	-32.609	1	sp1	1
-47	19	1	sp1	1
37.838	-20.4694	1	sp1	1
-2.945847	50.701299	1	sp1	1
-112.5	-31.5	1	sp1	1
2.5	-30.5	1	sp1	1
-9.282293	55.244567	1	sp1	1
27.878	-36.326	1	sp1	1
-93	26.3	1	sp1	1
15.5	-36.5	1	sp1	1
-90.5	3.5	1	sp1	1
-48.5	35.5	1	sp1	1
-53.942871	5.758447	1	sp1	1
14.954	-31.654	1	sp1	1
-73.9792	39.3345	1	sp1	1
-64.7	17	1	sp1	1
-61.83	39.15	1	sp1	1
35.277	-21.177	1	sp1	1
-5.5491	56.1627	1	sp1	1
173.5	6.5	1	sp1	1
36.853	-28.208	1	sp1	1
43.6924	-17.63244	1	sp1	1
33.0732	-26.0885	1	sp1	1
35.216	-20.447	1	sp1	1
-9.234694	51.45093	1	sp1	1
-75.144	37.382	1	sp1	1
-90.5	26.28	1	sp1	1
31.145	-30.303	1	sp1	1
169.5	36.5	1	sp1	1
14.502	-38.577	1	sp1	1
152.101111	-24.498333	1	sp1	1
35.914	-26.91	1	sp1	1
-85.947	30.027	1	sp1	1
12.375	-36.277	1	sp1	1
15.17	-30.365	1	sp1	1
35.6	-19.592	1	sp1	1
-40.5	-31.5	1	sp1	1
-104.5	-10.5	1	sp1	1
33.48	-27.535	1	sp1	1
166.5	-0.5	1	sp1	1
13.448	-28.241	1	sp1	1
128.5	8.5	1	sp1	1
13.329	-34.271	1	sp1	1
158.5	-7.5	1	sp1	1
-155.5	7.5	1	sp1	1
25.901	-35.888	1	sp1	1
-80.571834	30.299115	1	sp1	1
35.382	-28.54	1	sp1	1
35.595	-26.797	1	sp1	1
-48	15	1	sp1	1
32.712	-28.316	1	sp1	1
-82.5	-24.5	1	sp1	1
-8.23	51.75	1	sp1	1
35.805	-19.3274	1	sp1	1
32.201	-31.716	1	sp1	1
33.197	-27.643	2	sp1	1
-79	31	2	sp1	1
33.145	-27.625	2	sp1	1
32.76034	-27.44303	2	sp1	1
141.7597	-38.2735	2	sp1	1
32.9394	-26.5231	2	sp1	1
-6.69667	52.0883	2	sp1	1
33.014	-27.989	2	sp1	1
23.703	-35.808	2	sp1	1
-116.5	0.5	2	sp1	1
35.145	-34.221	2	sp1	1
152.339575	-32.620672	2	sp1	1
49.5576	-38.6881	2	sp1	1
-52.8	43.21	2	sp1	1
18.379	-37.473	2	sp1	1
34.988	-25.579	2	sp1	1
-127.5	33.5	2	sp1	1
-1.7639	46.5198	2	sp1	1
-4.855453	54.634104	2	sp1	1
-1.48271	46.27673	2	sp1	1
-73.73	20.41	2	sp1	1
25.347	-38.406	2	sp1	1
155.5	9.5	2	sp1	1
-48.33	13.35	2	sp1	1
25.616	-38.52	2	sp1	1
-4.8907	55.4466	2	sp1	1
-120.5	35.5	2	sp1	1
-6.5	-8.5	2	sp1	1
36.6834	-37.7072	2	sp1	1
-1.7639	46.5198	2	sp1	1
158.5	-15.5	2	sp1	1
-74.43	37.25	2	sp1	1
26.76	-36.901	2	sp1	1
35.522	-34.736	2	sp1	1
-73.317	38.867	2	sp1	1
-44.5	40.5	2	sp1	1
33.615	-27.427	2	sp1	1
-1.09989	45.3397	2	sp1	1
157.5	16.5	2	sp1	1
42.859	-38.153	2	sp1	1
-58.63	31.5	2	sp1	1
35.544	-19.526	2	sp1	1
25.683	-35.41	2	sp1	1
31.557	-32.572	2	sp1	1
-27.7	38.53	2	sp1	1
31.6177	-39.4251	2	sp1	1
32.83105	-27.37655	2	sp1	1
-103.5	-36.5	2	sp1	1
-67.883	42.567	2	sp1	1
-3.5	-9.5	2	sp1	1
33.8979	-38.2578	2	sp1	1
33.54	-38.552	2	sp1	1
-91.26	26.83	2	sp1	1
-1.7639	46.5198	2	sp1	1
-6.9663	57.728	2	sp1	1
-1.22335	46.28665	2	sp1	1
47.3682	-39.1869	2	sp1	1
35.158	-34.38	2	sp1	1
33.556	-27.708	2	sp1	1
29.48	-35.207	2	sp1	1
-68.06	40.15	2	sp1	1
-74.477	38	2	sp1	1
-48.41	39.01	2	sp1	1
-150.5	6.5	2	sp1	1
33.462	-27.885	2	sp1	1
-7.89578	45.73152	2	sp1	1
32.679	-28.44	2	sp1	1
-7.535844	51.99877	2	sp1	1
-44.01	45.58	2	sp1	1
26.148	-37.279	2	sp1	1
134.5	11.5	2	sp1	1
36.0165	-36.9179	2	sp1	1
35.499	-20.57	2	sp1	1
151.981667	-24.365	2	sp1	1
-78.5	31.36	2	sp1	1
-97.5	3.5	2	sp1	1
144.5	3.5	2	sp1	1
-3.65028	54.3511	2	sp1	1
-46.6	42.31	2	sp1	1
-133.5	26.5	2	sp1	1
1.5	-4.5	2	sp1	1
6.39349	42.86827	2	sp1	1
-47.5	39.5	2	sp1	1
36.1495	-19.1504	2	sp1	1
-10.55	51.1	2	sp1	1
-124.1064	38.7156	2	sp1	1
13.799	-30.112	2	sp1	1
