decimalLongitude	decimalLatitude
36.1495	-19.1504
-10.55	51.1
-124.1064	38.7156
13.799	-30.112
-128.5	16.5
-2.58417	57.7014
-43.38	45.7
-122.034302	36.841435
36.801	-26.355
-88.5	-8.5
3.5	-1.5
-89.25	26.51
-90.75	26.28
22.446	-37.446
-77.2333	8.5333
-5.109896	51.774929
-143.5	32.5
35.381	-20.823
-71.91	39.65
24.333	-39.785
3.92588	43.53354
-91.5	-33.5
13.569	-26.014
31.651	-32.239
168.5	31.5
41.664	-35.978
-6.47	36.970001
17.259	-36.884
26.719	-34.703
-6.5	-4.5
32.733	-27.366
27.978	-35.663
-63.920533	11.175155
-1.19082	45.75932
138.61806	-35.54842
-3.95278	54.6558
-74.9658	38.8332
35.51287	-19.20927
5.19932	43.3538
6.585	42.99708
-46.98	41.16
-91.46	26.08
-48	15
-36.5	-20.5
129.5	8.5
148.5	12.5
35.283	-26.167
13.604	-30.297
35.087	-24.737
29.121	-33.671
27.536	-37.022
-45.4	43.78
-6.16889	50.8675
-43.85	45.93
-53.942871	5.758447
-9.52094	51.417675
-9.522125	51.424688
27.816	-37.318
33.196	-26.481
-4.098525	52.578293
1.26	6.13
7.5	-21.5
11.9673	-35.9929
34.1108	-25.6927
-1.20951	46.10681
-71.5216	41.375
28.215	-35.036
33.35	-27.295
-116.5	-5.5
33.40321	-25.32276
9.3875	-34.1652
-3.12222	47.60052
173.5	8.5
-42.36	43.33
-34.73	8.5
35.496	-21.072
13.894	-26.093
-6.82	55.21
-80.68398	30.099887
-4.651145	51.727272
-85.5	-11.5
-101.5	-9.5
32.034	-30.67
-2.2627	47.00893
-86.5	9.5
-71.14539	41.05956
-131.5	-2.5
27.438	-34.999
-80.07	26.3417
34.044	-34.052
-90	26.31
1.5	-4.5
29.929	-33.829
-9.52094	51.417675
-98.5	-35.5
137.86802	-34.78176
-144.5	15.5
-74.505412	35.618351
-41.96	45.41
-85.56	21.26
-44.96	41.6
13.518	-29.664
5.54605	43.07169
-71.451944	41.385556
12.7029	-38.3864
-48.25	44.28
-6.5	-3.5
126.5	5.5
-6.1992	58.5171
35.392	-21.228
25.934	-35.65
-90.5	-8.5
14.832	-31.786
27.39375	-39.22611
33.323	-27.353
-90.5	-5.5
132.332467	-11.151367
12.4959	-33.5686
-50.5	-30.5
-1.20262	46.01689
-75.476586	36.130956
-88.65	27.38
6.5	-6.5
-129.5	37.5
-0.5	-4.5
-1.7639	46.5198
32.738	-27.45
-139.5	33.5
-53.942871	5.758447
9.5	-7.5
-75.383	35.233
-80.612691	30.366138
33.5957	-40.187
32.971	-38.297
35.192	-19.962
35.726	-33.714
177.5	2.5
-123.5	-14.5
34.52	-25.035
-10.20097	53.406717
33.923	-27.408
-47.8	43.91
-40.5	-23.5
33.711	-27.565
-86.8247	29.687
-86.5	6.5
-6.271783	58.496531
-5.470888	54.689808
-70.45217	41.10283
-144.5	27.5
29.347	-34.804
35.7672	-24.2813
-1.61994	46.36144
-96.5	-30.5
24.563	-35.509
-41.5	-27.5
-63.981271	11.010135
133.5	-6.5
-85.967	30.005
-1.21642	46.19673
25.587	-35.66
18.841	-39.598
35.827	-24.78
36.4491	-37.6255
-35.5	-24.5
-43.61	46.4
-118.5	26.5
